rank,source_url,clicks,period,source_lang,map_status,map_target,live_chain,final_url,final_canonical,final_lang,cross_language,family_source,family_target,semantic,problems,decision,manual_review,reviewer_note
1,https://pepperoni.tatar/geo/kazylyk-premium-oktyabrsky,5,2026-07-01..2026-09-06,ru,301,/kazylyk,301 → 200,https://pepperoni.tatar/kazylyk,https://pepperoni.tatar/kazylyk,ru,no,kazylyk,kazylyk,match,,301 keep,yes,
2,https://pepperoni.tatar/geo/kazylyk-premium-chita,4,2026-07-01..2026-09-06,ru,301,/kazylyk,301 → 200,https://pepperoni.tatar/kazylyk,https://pepperoni.tatar/kazylyk,ru,no,kazylyk,kazylyk,match,,301 keep,yes,
3,https://pepperoni.tatar/geo/syroje-myaso-spb,4,2026-07-01..2026-09-06,ru,410,,301 → 200,https://pepperoni.tatar/products,https://pepperoni.tatar/products,ru,no,not-sold,catalog,410 correct (not in catalog),,410 no matching hub (leftover),yes,
4,https://pepperoni.tatar/tr/geo/kotlety-dlya-burgerov-ankara,4,2026-07-01..2026-09-06,tr,301,/en/kotlety-dlya-burgerov,301 → 200,https://pepperoni.tatar/en/kotlety-dlya-burgerov,https://pepperoni.tatar/en/kotlety-dlya-burgerov,en,yes,burger,burger,match,,301 keep,yes,
5,https://pepperoni.tatar/ar/geo/babbroni-halal-amman,3,2026-07-01..2026-09-06,ar,301,/en/pepperoni,301 → 200,https://pepperoni.tatar/en/pepperoni,https://pepperoni.tatar/en/pepperoni,en,yes,pepperoni,pepperoni,match,,301 keep,yes,
6,https://pepperoni.tatar/ar/geo/babbroni-halal-jeddah,3,2026-07-01..2026-09-06,ar,301,/en/pepperoni,301 → 200,https://pepperoni.tatar/en/pepperoni,https://pepperoni.tatar/en/pepperoni,en,yes,pepperoni,pepperoni,match,,301 keep,yes,
7,https://pepperoni.tatar/en/geo/halal-pepperoni-mombasa,3,2026-07-01..2026-09-06,en,301,/en/pepperoni,301 → 200,https://pepperoni.tatar/en/pepperoni,https://pepperoni.tatar/en/pepperoni,en,no,pepperoni,pepperoni,match,,301 keep,yes,
8,https://pepperoni.tatar/en/geo/syroje-myaso-tallinn,3,2026-07-01..2026-09-06,en,410,,301 → 200,https://pepperoni.tatar/en/products,https://pepperoni.tatar/en/products,en,no,not-sold,catalog,410 correct (not in catalog),,410 no matching hub (leftover),yes,
9,https://pepperoni.tatar/fr/geo/farsh-dakar,3,2026-07-01..2026-09-06,fr,410,,301 → 200,https://pepperoni.tatar/en/products,https://pepperoni.tatar/en/products,en,yes,not-sold,catalog,410 correct (not in catalog),,410 no matching hub (leftover),yes,
10,https://pepperoni.tatar/geo/kazylyk-premium-naberezhnie-chelny,3,2026-07-01..2026-09-06,ru,301,/kazylyk,301 → 200,https://pepperoni.tatar/kazylyk,https://pepperoni.tatar/kazylyk,ru,no,kazylyk,kazylyk,match,,301 keep,yes,
11,https://pepperoni.tatar/geo/kolbasnye-izdeliya-simferopol,3,2026-07-01..2026-09-06,ru,301,/products,301 → 200,https://pepperoni.tatar/products,https://pepperoni.tatar/products,ru,no,catalog,catalog,match,,301 keep,yes,
12,https://pepperoni.tatar/geo/kolbasnye-izdeliya-tashkent,3,2026-07-01..2026-09-06,ru,301,/products,301 → 200,https://pepperoni.tatar/products,https://pepperoni.tatar/products,ru,no,catalog,catalog,match,,301 keep,yes,
13,https://pepperoni.tatar/geo/kotlety-dlya-burgerov-novosibirsk,3,2026-07-01..2026-09-06,ru,301,/kotlety-dlya-burgerov,301 → 200,https://pepperoni.tatar/kotlety-dlya-burgerov,https://pepperoni.tatar/kotlety-dlya-burgerov,ru,no,burger,burger,match,,301 keep,yes,
14,https://pepperoni.tatar/geo/vypechka-tatarskaya-tashkent,3,2026-07-01..2026-09-06,ru,301,/vyipechka-halyal,301 → 200,https://pepperoni.tatar/vyipechka-halyal,https://pepperoni.tatar/vyipechka-halyal,ru,no,bakery,bakery,match,,301 keep,yes,
15,https://pepperoni.tatar/geo/vypechka-tatarskaya-volgograd,3,2026-07-01..2026-09-06,ru,301,/vyipechka-halyal,301 → 200,https://pepperoni.tatar/vyipechka-halyal,https://pepperoni.tatar/vyipechka-halyal,ru,no,bakery,bakery,match,,301 keep,yes,
