url,status,location,canonical,robots_meta,x_robots,html_lang,hreflang_ok,problems
https://pepperoni.tatar/,200,,https://pepperoni.tatar/,"index, follow","index, follow",ru,yes,
https://pepperoni.tatar/en/,200,,https://pepperoni.tatar/en/,"index, follow","index, follow",en,yes,
https://pepperoni.tatar/about,200,,https://pepperoni.tatar/about,"index, follow","index, follow",ru,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/about
https://pepperoni.tatar/blog,200,,https://pepperoni.tatar/blog,"index, follow","index, follow",ru,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/blog
https://pepperoni.tatar/capabilities,200,,https://pepperoni.tatar/capabilities,"index, follow","index, follow",ru,yes,
https://pepperoni.tatar/cases,200,,https://pepperoni.tatar/cases,"index, follow","index, follow",ru,yes,
https://pepperoni.tatar/certificates,200,,https://pepperoni.tatar/certificates,"index,follow,max-image-preview:large","index, follow",ru,yes,
https://pepperoni.tatar/delivery,200,,https://pepperoni.tatar/delivery,"index, follow","index, follow",ru,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/delivery
https://pepperoni.tatar/dlya-azs,200,,https://pepperoni.tatar/dlya-azs,"index, follow","index, follow",ru,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/dlya-azs
https://pepperoni.tatar/dlya-distributorov,200,,https://pepperoni.tatar/dlya-distributorov,"index, follow","index, follow",ru,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/dlya-distributorov
https://pepperoni.tatar/dlya-horeca,200,,https://pepperoni.tatar/dlya-horeca,"index, follow","index, follow",ru,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/dlya-horeca
https://pepperoni.tatar/dlya-pekaren,200,,https://pepperoni.tatar/dlya-pekaren,"index, follow","index, follow",ru,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/dlya-pekaren
https://pepperoni.tatar/dlya-setey,200,,https://pepperoni.tatar/dlya-setey,"index, follow","index, follow",ru,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/dlya-setey
https://pepperoni.tatar/editorial-policy,200,,https://pepperoni.tatar/editorial-policy,"index,follow,max-image-preview:large","index, follow",ru,yes,
https://pepperoni.tatar/en/about,200,,https://pepperoni.tatar/en/about,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/about
https://pepperoni.tatar/en/blog,200,,https://pepperoni.tatar/en/blog,"index, follow","index, follow",en,yes,
https://pepperoni.tatar/en/capabilities,200,,https://pepperoni.tatar/en/capabilities,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=https://pepperoni.tatar/en/capabilities sm=https://pepperoni.tatar/capabilities
https://pepperoni.tatar/en/cases,200,,https://pepperoni.tatar/en/cases,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=https://pepperoni.tatar/en/cases sm=https://pepperoni.tatar/cases
https://pepperoni.tatar/en/certificates,200,,https://pepperoni.tatar/en/certificates,"index,follow,max-image-preview:large","index, follow",en,yes,
https://pepperoni.tatar/en/delivery,200,,https://pepperoni.tatar/en/delivery,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/delivery
https://pepperoni.tatar/en/dlya-azs,200,,https://pepperoni.tatar/en/dlya-azs,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=https://pepperoni.tatar/en/dlya-azs sm=https://pepperoni.tatar/dlya-azs
https://pepperoni.tatar/en/dlya-distributorov,200,,https://pepperoni.tatar/en/dlya-distributorov,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=https://pepperoni.tatar/en/dlya-distributorov sm=https://pepperoni.tatar/dlya-distributorov
https://pepperoni.tatar/en/dlya-horeca,200,,https://pepperoni.tatar/en/dlya-horeca,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=https://pepperoni.tatar/en/dlya-horeca sm=https://pepperoni.tatar/dlya-horeca
https://pepperoni.tatar/en/dlya-pekaren,200,,https://pepperoni.tatar/en/dlya-pekaren,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=https://pepperoni.tatar/en/dlya-pekaren sm=https://pepperoni.tatar/dlya-pekaren
https://pepperoni.tatar/en/dlya-setey,200,,https://pepperoni.tatar/en/dlya-setey,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=https://pepperoni.tatar/en/dlya-setey sm=https://pepperoni.tatar/dlya-setey
https://pepperoni.tatar/en/editorial-policy,200,,https://pepperoni.tatar/en/editorial-policy,"index,follow,max-image-preview:large","index, follow",en,yes,
https://pepperoni.tatar/en/export,200,,https://pepperoni.tatar/en/export,"index, follow","index, follow",en,yes,
https://pepperoni.tatar/en/faq,200,,https://pepperoni.tatar/en/faq,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/faq
https://pepperoni.tatar/en/halal,200,,https://pepperoni.tatar/en/halal,"index, follow","index, follow",en,no,hreflang≠sitemap: x-default: page=None sm=https://pepperoni.tatar/halal
