sku,name,mainPhoto,packPhoto,slicePhoto
KD-001,Сосиски «Из говядины» (80 г × 6 шт),https://res.cloudinary.com/duygfl3vz/image/upload/v1772730305/sosiski_v_razreze_iz_govadiny_vonrzp.jpg,https://res.cloudinary.com/duygfl3vz/image/upload/v1772730305/sosiski_dla_hot_dogov_iz_govadiny_nhvftx.jpg,https://res.cloudinary.com/duygfl3vz/image/upload/v1772700262/zakrytyi%CC%86_hot_dog_1.1_wus1jd.jpg
KD-002,Сосиски «Два мяса» (80 г × 6 шт),,,
KD-003,Сосиски «Три перца с сыром» (80 г × 6 шт),,,
KD-004,Сосиски «Куриные» (80 г × 6 шт),,,
KD-005,Сосиски «С бараниной» (80 г × 6 шт),,,
KD-006,Сосиски «С травами» (130 г × 5 шт),,,
KD-007,Сосиски «С сыром» (130 г × 5 шт),,,
KD-008,Котлета говяжья прожаренная (100 г × 3 шт),,,
KD-009,Котлета говяжья прожаренная (150 г × 2 шт),,,
KD-010,Ветчина из Курицы в батоне,,,
KD-011,Ветчина из Курицы в нарезке,,,
KD-012,Ветчина из Индейки в батоне,,,
KD-013,Ветчина из Индейки в нарезке,,,
KD-014,Пепперони варено-копченый из конины,,,
KD-015,Пепперони варено-копченый классика,,,
KD-016,Пепперони варено-копченый классика целый батон,,,
KD-017,Пепперони сырокопчёный в нарезке,,,
KD-018,Пепперони сырокопчёный целый батон,,,
KD-019,Грудка куриная варено-копченая,,,
KD-020,Филе куриное варное,,,
KD-021,Фарш говяжий,,,
KD-022,Фарш из куриной кожи,,,
KD-023,Филе бедра куриного в кубике 1х1 см,,,
KD-024,Филе грудки куриной в кубике 1х1 см,,,
KD-025,Говядина 1 сорт в кубике 1х1 см,,,
KD-026,Сосиски «К завтраку»,,,
KD-027,"Сосиски «К завтраку» (без оболочки) 
 для «Сосиски в тесте» 45 гр",,,
KD-028,Сосиски «Нежные»,,,
KD-029,Сосиски «Казанские с молоком»,,,
KD-030,Сосиски «С сыром»,,,
KD-031,"Сосиски ""Из говядины""",,,
KD-032,Сосиски в/с Премиум,,,
KD-033,Сосиски в/с Сочные,,,
KD-034,"Сардельки «Буинские""",,,
KD-035,Вареная «Из Говядины»,,,
KD-036,Вареная Ассорти,,,
KD-037,Вареная Нежная,,,
KD-038,Ветчина из Индейки,,,
KD-039,Ветчина Мраморная с говядиной,,,
KD-040,Ветчина из Курицы,,,
KD-041,Ветчина Филейная,,,
KD-042,Сервелат Ханский,,,
KD-043,Сервелат по-татарски в/к,,,
KD-044,Полукопченая из Индейки,,,
KD-045,Полукопченая из Говядины,,,
KD-046,Колбаски с Сыром,,,
KD-047,Грудка куриная,,,
KD-048,Филе куриное,,,
KD-049,в/к Рамазан,,,
KD-050,в/к Рамазан (половинка),,,
KD-051,в/к Мраморная,,,
KD-052,в/к Мраморная (половинка),,,
KD-053,в/к Филейный,,,
KD-054,в/к Филейный (половинка),,,
KD-055,в/к Княжеская,,,
KD-056,в/к Княжеская (половинка),,,
KD-057,Казылык «Премиум» в подарочной упаковке,,,
KD-058,Казылык «Премиум» в нарезке в подарочной упаковке,,,
KD-059,Губадия с кортом,,,
KD-060,Чебурек жареный,,,
KD-061,Перемяч жареный,,,
KD-062,Самса с курицей,,,
KD-063,Эчпочмак с говядиной и картофелем,,,
KD-064,Самса с говядиной,,,
KD-065,Элеш с курицей и картофелем,,,
KD-066,Чак-Чак в пластиковой упаковке,,,
KD-067,Чак-Чак в крафтовой подарочной упаковке,,,
KD-068,Сочник с творогом,,,
KD-069,Пирожок печеный с картофелем,,,
KD-070,Сырник,,,
KD-071,Пирожок с яблоком,,,
KD-072,Пирожок с зеленым луком и яйцом,,,
KD-073,Маффин апельсиновый,,,
KD-074,Сосиска в тесте,,,
KD-075,Пирожок с вишней,,,
KD-076,Круассан с шоколадом и орехами,,,
KD-077,Маффин шоколадный,,,
